,Address,Price,Beds,Baths,Area_Sqft,City,Zipcode,Time_on_Redfin(days),Property Type,Year_built,Community,Lot_Size_Sqft,Est_Monthly_Payt,Est_Redfin_Price,Price/Sq.Ft.,Buyer_Agent_Commission,HOA_Dues,Style
15,"33956 Horseshoe Loop,Fremont, CA 94555",1890000,4,3,1973,Fremont,94555,3,Single Family Residential,2016,ARDENWOOD AREA,4530,13898,1942728,958,2,170,Contemporary
16,"285 Junipero Cmn,Fremont, CA 94536",798000,2,1.5,1140,Fremont,94536,3,Townhouse,1974,NILES AREA,1392,6136,798061,700,2,340,Contemporary
17,"5614 Hughes Pl,Fremont, CA 94538",1248900,3,2,1206,Fremont,94538,3,Single Family Residential,1966,28 PALMS,5800,9071,1329896,1036,2,0,Ranch
18,"92 Catania Cmn,FREMONT, CA 94536",1249888,3,2.5,1600,Fremont,94536,3,Townhouse,2018,FREMONT,1825,9398,1317952,781,2,320,Unknown
19,"3425 Inspiration Way,Fremont, CA 94538",1133733,3,2,1771,Fremont,94538,3,Condo,2023,Victoria Station at Metro West,29160,8235,1137574,640,2,0,Unknown
20,"37336 Spruce Ter,Fremont, CA 94536",425000,1,1,593,Fremont,94536,3,Condo,1986,BAYWOOD,29160,3416,424300,717,2,329,Contemporary
21,"37823 Essanay Pl,Fremont, CA 94536",950000,3,2.5,1236,Fremont,94536,3,Single Family Residential,1981,Fremont,3047,6900,1056908,769,2,0,Contemporary
22,"39078 Guardino Dr #103,Fremont, CA 94538",459000,1,1,693,Fremont,94538,3,Condo,1990,ADOBE HILLS,212572,3892,467294,662,2,558,Unknown
23,"307 Kauai Cir #307,UNION CITY, CA 94587",300000,2,2,1406,Fremont,94587,3,Double-Wide Mobile Home,2000,UNION CITY,29160,2179,300153,213,3,0,Unknown
24,"5070 Cobb Ct,FREMONT, CA 94538",1275000,3,2,1204,Fremont,94538,4,Single Family Home,1962,FREMONT,6380,9261,1283957,1059,2,0,Unknown
25,"4549 Faulkner Ct,Fremont, CA 94536",1850000,4,3.5,2139,Fremont,94536,4,Single Family Residential,1965,GLENMOOR,10070,13467,1871927,865,2,30,Ranch
26,"3487 Pennsylvania Cmn,FREMONT, CA 94536",695000,2,2,944,Fremont,94536,4,Condo,1981,FREMONT,29160,5523,693856,736,2,475,Unknown
27,"4449 Inyo Ct,Fremont, CA 94538",1550000,4,2,2092,Fremont,94538,4,Single Family Residential,1961,Fremont,6090,11258,1560298,741,2,0,Unknown
28,"37014 Dutra Way,Fremont, CA 94536",1299900,4,2,1796,Fremont,94536,4,Single Family Residential,1951,FREMONT,7076,9442,1309857,724,2,0,Contemporary
29,"37435 Church Ave,Fremont, CA 94536",789950,2,1,804,Fremont,94536,4,Single Family Residential,1948,CENTERVILLE,4425,5738,1469274,983,2,0,Ranch
30,"332 Grafton Ter,Fremont, CA 94539",1850000,4,3.5,2106,Fremont,94539,5,Single Family Residential,2014,WARM SPRINGS,1619,13594,1843771,878,2,157,Contemporary
31,"4132 Vincente St,Fremont, CA 94536",1450000,3,2,1232,Fremont,94536,6,Single Family Residential,1967,Fremont,5854,10532,1475436,1177,2,0,Unknown
32,"36171 San Pedro Dr,Fremont, CA 94536",1299000,3,2,1450,Fremont,94536,7,Single Family Residential,1956,CABRILLO,7339,9435,1352350,896,2,0,Contemporary
33,"48373 Conifer,Fremont, CA 94539",1799800,4,3.5,1919,Fremont,94539,8,Single Family Residential,1963,WARM SPRINGS,6741,13073,1469274,938,2,0,Contemporary
34,"60 Wison Way #158,MILPITAS, CA 95035",380000,3,2,1028,Fremont,95035,8,Double-Wide Mobile Home,2006,MILPITAS,29160,2760,381964,370,3,0,Unknown
35,"4841 Stevenson Blvd,Fremont, CA 94538",1249999,3,2,1148,Fremont,94538,8,Single Family Residential,1959,28 PALMS,5760,9079,1353780,1089,2,0,Ranch
36,"43177 Continental Dr,Fremont, CA 94538",1275000,3,2,1126,Fremont,94538,8,Single Family Residential,1955,IRVINGTON AREA,5000,9261,1308302,1132,2,0,Ranch
37,"39199 Walnut Ter #26,Fremont, CA 94536",799950,2,2,1270,Fremont,94536,8,Condo,1984,Guardino,1270,6333,817571,630,2,523,Contemporary
38,"575 Ginkgo Ter,Fremont, CA 94539",1599999,4,3.5,1911,Fremont,94539,8,Single Family Residential,2009,WARM SPRINGS,6647,11736,1668392,837,2,115,Unknown
39,"4050 Margery Dr,Fremont, CA 94538",1399888,3,2,1600,Fremont,94538,8,Single Family Residential,1958,Fremont,6000,10168,1469274,875,2,0,Unknown
40,"4456 Gina St,FREMONT, CA 94538",1088888,3,1,950,Fremont,94538,9,Single Family Home,1955,FREMONT,5300,7909,1098839,1146,2,0,Unknown
41,"38623 Cherry Ln #224,FREMONT, CA 94536",748000,3,2,1101,Fremont,94536,9,Condo,1974,FREMONT,1101,5893,754360,679,2,460,Unknown
42,"711 Old Canyon Rd #50,Fremont, CA 94536",168000,2,2,1344,Fremont,94536,9,Mobile/Manufactured Home,Unknown,NILES CANYON MHP,29160,1220,167747,125,3,0,Unknown
43,"1910 Barrymore Cmn Unit G,Fremont, CA 94538",599000,2,1,882,Fremont,94538,9,Condo,1981,FREMONT,225205,4916,612266,679,2,565,Traditional
44,"34109 Susa Ter,FREMONT, CA 94555",1550000,4,3.5,1969,Fremont,94555,10,Townhouse,2013,FREMONT,29160,11542,1562770,787,2,284,Unknown
45,"37373 Viceroy Cmn,Fremont, CA 94536",1639000,4,3.5,2191,Fremont,94536,10,Townhouse,2023,Not Listed,2342,12190,1638495,748,2,285,"Contemporary, Craftsman"
46,"35181 Mount Whitney Ter,Fremont, CA 94536",1799000,4,3,2196,Fremont,94536,10,Single Family Residential,2000,NILES AREA,4275,13207,1964592,819,2,140,Contemporary
47,"4141 Deep Creek Rd #181,Fremont, CA 94555",198800,2,2,1152,Fremont,94555,10,Mobile/Manufactured Home,Unknown,BESARO MHP,29160,1444,198295,173,3,0,Unknown
48,"969 Avila Terraza,Fremont, CA 94538",910000,2,2,1102,Fremont,94538,10,Condo,2001,ANDALUSIA,259617,7090,926960,826,2,480,Contemporary
49,"191 W Hunter Ln,Fremont, CA 94539",2699000,4,2.5,2539,Fremont,94539,11,Single Family Residential,1989,MISSION,10357,19604,2807160,1063,2,0,Unknown
50,"5670 Salvia Cmn,Fremont, CA 94538",898000,2,2.5,1157,Fremont,94538,11,Condo,1994,Fremont,42688,6858,1469274,776,2,335,Unknown
51,"41622 E Belford Ter,Fremont, CA 94538",1296880,4,3,1569,Fremont,94538,11,Condo,2023,Not Listed,29160,9754,1296149,827,2,334,Contemporary
52,"254 Manitoba Grn,Fremont, CA 94538",230000,3,2,1440,Fremont,94538,12,Mobile/Manufactured Home,Unknown,SOUTHLAKE MHP,29160,1671,226413,160,3,0,Unknown
53,"33193 Lake Garrison St,Fremont, CA 94555",1490000,4,2,1629,Fremont,94555,13,Single Family Residential,1969,FREMONT,3440,10823,1514500,915,2,0,Unknown
54,"36933 Niles Blvd,Fremont, CA 94536",1425000,2,0,2216,Fremont,94536,15,Multi-Family (2-4 Unit),1950,Fremont,7950,10350,1432750,643,2,0,Unknown
55,"47112 Warm Springs Blvd #320,Fremont, CA 94539",720000,2,2,1051,Fremont,94539,15,Condo,1982,REDWOOD SQUARE,119354,5558,705728,685,2,328,Unknown
56,"5510 Cosmos Cmn Unit C,Fremont, CA 94538",699000,2,2,850,Fremont,94538,16,Townhouse,1994,STEVENSON AREA,29160,5412,709674,822,2,335,Contemporary
57,"49042 Feather Grass Ter,Fremont, CA 94539",1525000,3,2.5,1785,Fremont,94539,16,Single Family Residential,2010,WARM SPRINGS,1680,11176,1549224,854,2,99,Contemporary
58,"3300 Wolcott #104,FREMONT, CA 94538",649999,2,2,1013,Fremont,94538,17,Condo,1983,FREMONT,29160,5180,650687,642,2,459,Unknown
59,"44908 Wisdom Rd #301,Fremont, CA 94538",1096098,3,2,1502,Fremont,94538,18,Multi-Family (2-4 Unit),2023,Innovation - Lumiere,29160,7961,1090274,730,2,0,Unknown
60,"3698 Vision Cmn Unit 302,Fremont, CA 94538",983880,3,2,1495,Fremont,94538,18,Multi-Family (2-4 Unit),2023,Innovation - Chroma,29160,7146,984400,658,2,0,Unknown
61,"3230 Dollinger Ct,Fremont, CA 94536",1599000,4,2,1676,Fremont,94536,20,Single Family Residential,1965,PARKMONT VILLAGE,6715,11639,1621257,954,2,25,Ranch
62,"37167 Mission Blvd,Fremont, CA 94536",960000,2,0,1662,Fremont,94536,21,Multi-Family (2-4 Unit),1942,Fremont,3348,6973,951489,578,2,0,Unknown
63,"3551 Gilman Cmn,Fremont, CA 94538",1520000,3,2.5,1935,Fremont,94538,21,Townhouse,1999,LIBERTY COMMONS,1299,11305,1509396,786,2,265,Contemporary
64,"3248 Bruce Dr,Fremont, CA 94539",2899000,4,4,2704,Fremont,94539,22,Single Family Residential,1955,MISSION,8955,21057,2852815,1072,2,0,Contemporary
65,"3770 Union St,Fremont, CA 94538",1265000,3,2,1450,Fremont,94538,22,Single Family Residential,1951,IRVINGTON DIST.,5000,9188,1274522,872,2,0,Bungalow
66,"3742 Union St,Fremont, CA 94538",1265000,2,1,1035,Fremont,94538,22,Single Family Residential,1951,IRVINGTON DIST.,7200,9188,1260784,1222,2,0,Bungalow
67,"39993 Fremont Blvd #103,FREMONT, CA 94538",495000,1,1,922,Fremont,94538,22,Condo,1987,FREMONT,29160,4215,495049,537,2,620,Unknown
68,"4514 Merced Cmn,Fremont, CA 94536",620000,2,2,1050,Fremont,94536,23,Condo,1973,Fremont,1050,5081,621970,590,2,578,Unknown
69,"1851 Napa Ct,FREMONT, CA 94539",4288800,6,4,5359,Fremont,94539,23,Single Family Home,1988,FREMONT,17424,31316,4258448,800,2,165,Custom
70,"44164 Glendora Dr,FREMONT, CA 94539",2779000,4,3,2254,Fremont,94539,23,Single Family Home,1988,FREMONT,7013,20257,2790875,1233,2,72,Unknown
71,"39951 Fremont Blvd #124,Fremont, CA 94538",649900,2,2,1146,Fremont,94538,23,Condo,1987,PARK REGENCY,148975,5382,651778,567,2,661,Contemporary
72,"37903 Vallejo St,Fremont, CA 94536",1150000,2,1.5,891,Fremont,94536,25,Townhouse,1981,FREMONT,9503,8353,1143109,1291,2,0,Unknown
73,"420 Sequim Cmn,Fremont, CA 94539",700000,2,2,897,Fremont,94539,25,Condo,1985,Fremont,29160,5084,1469274,780,2,0,Unknown
74,"38848 Cherry Glen Cmn,Fremont, CA 94536",899998,2,2,1168,Fremont,94536,25,Condo,1987,ORCHARD,13068,6962,909087,771,2,425,Unknown
75,"44908 Wisdom Rd #201,Fremont, CA 94538",1095929,3,2,1502,Fremont,94538,26,Multi-Family (2-4 Unit),2023,Innovation - Lumiere,29160,7960,1094682,730,2,0,Unknown
76,"3698 Vision Cmn Unit 315,Fremont, CA 94538",807880,2,2,1014,Fremont,94538,26,Multi-Family (2-4 Unit),2023,Innovation - Chroma,29160,5868,809779,797,2,0,Unknown
77,"38627 Cherry Ln #73,Fremont, CA 94536",420000,1,1,623,Fremont,94536,26,Condo,1974,Fremont,649044,3051,1469274,674,2,0,Unknown
78,"5305 Tacoma Cmn,Fremont, CA 94555",799000,2,2,1100,Fremont,94555,30,Condo,1989,ARDENWOOD FREMONT,89733,6161,822027,726,2,358,Contemporary
79,"1585 Vinehill Cir,Fremont, CA 94539",3999000,5,5.5,4791,Fremont,94539,30,Single Family Residential,1996,VINEYARD HEIGHTS,18295,29218,3887947,835,2,172,Unknown
80,"4531 Portola Dr,Fremont, CA 94536",1499666,3,2,1580,Fremont,94536,30,Single Family Residential,1953,CABRILLO,5953,10893,1469274,949,2,0,Craftsman
81,"38396 Redwood Ter,Fremont, CA 94536",949990,2,2.5,1400,Fremont,94536,32,Condo,1986,PARKMONT,33541,7285,953052,679,2,385,Contemporary
82,"44819 S Grimmer Blvd #1000,FREMONT, CA 94538",1295000,3,3,1776,Fremont,94538,33,Single Family Home,2019,FREMONT,14810,9840,1280534,729,2,434,Unknown
83,"3827 Heart Cmn,Fremont, CA 94538",975000,2,2.5,1290,Fremont,94538,37,Condo,2019,LOCALE @ STATE STREET,29160,7832,966364,756,2,750,Modern/High Tech
84,"3686 Gainsborough Ter,Fremont, CA 94555",849999,3,1.5,1166,Fremont,94555,37,Townhouse,1970,NORTH GATE,901,6525,850361,729,2,351,Unknown
85,"3468 Inspiration Way #203,Fremont, CA 94538",1188180,2,2,1462,Fremont,94538,38,Condo,2023,WARM SPRINGS,29160,9230,1469274,813,3,600,Contemporary
86,"3425 Inspiration Way #303,Fremont, CA 94538",1218733,3,2,1771,Fremont,94538,38,Condo,2023,WARM SPRINGS,29160,9452,1469274,688,2,600,Contemporary
87,"43815 Paso Pino Cmn,Fremont, CA 94539",1249000,3,2,1431,Fremont,94539,40,Condo,2011,MISSION DISTRICT,8160,9372,1270419,873,2,300,Contemporary
88,"711 Old Canyon Rd #174,Fremont, CA 94536",230000,2,2,1368,Fremont,94536,43,Mobile/Manufactured Home,Unknown,NILES CANYON MHP,29160,1671,227640,168,3,0,Unknown
89,"42111 Osgood Rd #412,FREMONT, CA 94539",696714,2,2,906,Fremont,94539,43,Condo,2022,FREMONT,29160,5593,698209,769,1,532,Unknown
90,"3911 Wildflower Cmn,Fremont, CA 94538",949000,3,2,1300,Fremont,94538,43,Townhouse,1987,Fremont,111077,7347,944422,730,2,454,Contemporary
91,"36720 Charles St,NEWARK, CA 94560",1038000,3,2,1190,Fremont,94560,44,Single Family Home,1954,NEWARK,5700,7539,1034984,872,2,0,Unknown
92,"5369 Keystone Dr,Fremont, CA 94536",1899950,3,2,1671,Fremont,94536,45,Single Family Residential,1956,GLENMOOR,8179,13830,1469274,1137,2,30,Ranch
93,"42111 Osgood Rd #428,FREMONT, CA 94539",1100259,3,2,1602,Fremont,94539,49,Condo,2022,FREMONT,29160,8614,1020080,687,1,622,Unknown
94,"42111 Osgood Rd #521,FREMONT, CA 94539",796619,1,1,1067,Fremont,94539,49,Condo,2022,FREMONT,29160,6336,718709,747,1,550,Unknown
95,"44573 Japala Pl,Fremont, CA 94539",1888000,4,2.5,1617,Fremont,94539,50,Single Family Residential,1978,WEIBEL,7137,13713,1886825,1168,2,0,Contemporary
96,"2250 Kilowatt Way #308,Fremont, CA 94539",1249619,2,2,1830,Fremont,94539,51,Condo,2024,WARM SPRINGS,29160,9700,1469274,683,2,623,Contemporary
97,"4106 Coriander Ter,FREMONT, CA 94538",1650000,4,3.5,2140,Fremont,94538,51,Single Family Home,2009,FREMONT,14374,12150,1469274,771,2,165,Unknown
98,"45128 Warm Springs Blvd #311,Fremont, CA 94539",1150000,3,2,1530,Fremont,94539,52,Condo,2020,WARM SPRINGS,75358,8923,1146326,752,2,570,Contemporary
99,"3677 Integration Cmn,Fremont, CA 94538",1343535,3,3.5,1891,Fremont,94538,53,Townhouse,2023,WARM SPRINGS,29160,10139,1469274,710,2,380,Contemporary
100,"45967 Hidden Valley Ter,FREMONT, CA 94539",3999000,4,2.5,2820,Fremont,94539,53,Single Family Home,1996,FREMONT,50093,29221,3980524,1418,2,175,Spanish
101,"3617 Integration Cmn,Fremont, CA 94538",1336535,3,3.5,1891,Fremont,94538,53,Townhouse,2023,WARM SPRINGS,29160,10088,1469274,707,2,380,Contemporary
102,"3245 Internet Cmn #1002,Fremont, CA 94538",1539302,4,3.5,2313,Fremont,94538,54,Multi-Family (2-4 Unit),2023,Innovation - Aspect,29160,11181,1499801,666,2,0,Unknown
103,"39993 Fremont Blvd #313,Fremont, CA 94538",714950,2,2,1465,Fremont,94538,54,Condo,1987,CENTRAL FREMONT,148975,5932,701178,488,2,739,Contemporary
104,"75 Harvey Ter,Fremont, CA 94536",1129888,3,2.5,1663,Fremont,94536,54,Townhouse,1984,NILES AREA,2050,8725,1117523,679,2,518,Unknown
105,"3685 Integration Cmn,Fremont, CA 94538",1329535,3,3.5,1891,Fremont,94538,57,Townhouse,2023,WARM SPRINGS,29160,10037,1469274,703,2,380,Contemporary
106,"392 Farley Cmn,Fremont, CA 94539",1875000,4,3.5,2247,Fremont,94539,57,Single Family Residential,2014,Not Listed,1401,13776,1838723,834,2,157,Contemporary
107,"45168 Tom Blalock St #106,Fremont, CA 94539",1350000,2,2,1925,Fremont,94539,58,Condo,2020,ACACIA,2539,10426,1324616,701,2,620,Contemporary
108,"2358 Velocity Cmn #310,Fremont, CA 94538",1748000,3,3.5,2600,Fremont,94538,59,Condo,2021,WARM SPRINGS,29160,13353,1469274,672,2,657,Contemporary
109,"45258 Tom Blalock St #206,Fremont, CA 94539",1185000,2,2.5,1786,Fremont,94539,61,Condo,2021,WARM SPRINGS,29160,9249,1170786,663,2,642,Modern/High Tech
110,"2250 Kilowatt Way #212,Fremont, CA 94539",1617421,3,3,2422,Fremont,94539,65,Condo,2024,WARM SPRINGS,29160,12371,1469274,668,2,623,Contemporary
111,"2250 Kilowatt Way #312,Fremont, CA 94539",1383597,2,2,1866,Fremont,94539,65,Condo,2024,WARM SPRINGS,29160,10673,1469274,741,2,623,Contemporary
112,"2348 Kinetic Cmn #211,Fremont, CA 94539",1169000,2,2,1886,Fremont,94539,72,Condo,2020,WARM SPRINGS,29160,9148,1152625,620,2,657,Contemporary
113,"37748 Carriage Cir,Fremont, CA 94536",1295000,3,2.5,1546,Fremont,94536,72,Single Family Residential,1985,Fremont,3472,9533,1304319,838,2,127,Unknown
114,"42111 Osgood Rd #331,FREMONT, CA 94539",747890,2,2,1067,Fremont,94539,72,Condo,2022,FREMONT,29160,5982,695394,701,1,550,Unknown
115,"2348 Kinetic Cmn #103,Fremont, CA 94539",1179000,2,2,1725,Fremont,94539,75,Condo,2020,WARM SPRINGS,25264,9222,1158539,683,2,658,Modern/High Tech
116,"39224 Guardino Dr #118,Fremont, CA 94538",699995,2,2,1077,Fremont,94538,79,Condo,1990,ADOBE HILLS,212572,5758,693796,650,2,674,Contemporary
117,"42111 Osgood Rd #427,FREMONT, CA 94539",820752,2,2,1148,Fremont,94539,81,Condo,2022,FREMONT,29160,6567,808086,715,1,606,Unknown
118,"711 Old Cyn #52,Fremont, CA 94536",199999,2,2,1368,Fremont,94536,103,Mobile/Manufactured Home,Unknown,NILES CANYON MHP,29160,1453,197185,146,4,0,Unknown
119,"1748 Kilowatt Way #302,FREMONT, CA 94539",1585000,3,2.5,1850,Fremont,94539,108,Condo,2021,FREMONT,29160,12088,1565824,857,2,575,Contemporary
120,"45378 Tom Blalock St #107,FREMONT, CA 94539",1139000,2,2.5,1608,Fremont,94539,108,Condo,2021,FREMONT,29160,8915,1118665,708,2,642,Contemporary
121,"4159 Bullard St,FREMONT, CA 94538",999998,3,1,950,Fremont,94538,112,Single Family Home,1954,FREMONT,5000,7263,977880,1053,2,0,Unknown
122,"46950 Zapotec Dr,FREMONT, CA 94539",3498000,4,3,4512,Fremont,94539,120,Single Family Home,1986,FREMONT,11325,25408,3427200,775,2,0,Unknown
123,"38860 Cherry Ln,Fremont, CA 94536",2748888,5,2,2215,Fremont,94536,129,Single Family Residential,1929,ORCHARD,29185,19966,2439469,1241,2,0,Craftsman
124,"38555 Overacker Ave,Fremont, CA 94536",13499900,4,2,2533,Fremont,94536,137,Single Family Residential,1873,CHERRY GUARDINO,88862,98056,10077655,5330,2,0,Unknown
125,"60 Wilson Way #91,MILPITAS, CA 95035",449900,3,2,1220,Fremont,95035,155,Double-Wide Mobile Home,2000,MILPITAS,29160,3268,429265,369,3,0,Unknown
126,"1259 Filton Ct,FREMONT, CA 94536",1199999,3,1,1014,Fremont,94536,164,Single Family Home,1959,FREMONT,7888,8716,1181447,1183,2,0,Unknown
127,"661 Monticello Ter,FREMONT, CA 94539",8999000,7,8.5,14042,Fremont,94539,176,Single Family Home,2004,FREMONT,87120,65614,8472897,641,2,250,Custom
128,"36311 San Pedro,Fremont, CA 94536",2880000,7,6,4800,Fremont,94536,450,Single Family Residential,1986,CABRILLO AREA,14810,20919,2483267,600,2,0,Contemporary
129,"Latimer Elite,Fremont, CA 94538",1527431,4,3.5,2156,Fremont,94538,0,Townhouse,Unknown,Kensington Station at Metro West,29160,10808,1469274,690,2,0,Unknown
130,"Tauton,Fremont, CA 94538",1527431,3,2,2106,Fremont,94538,0,Condo,Unknown,Victoria Station at Metro West,29160,9813,1469274,641,2,0,Unknown
131,"Kempton,Fremont, CA 94538",1527431,3,2,1866,Fremont,94538,0,Condo,Unknown,Victoria Station at Metro West,29160,8556,1469274,631,2,0,Unknown
132,"Hartwell,Fremont, CA 94538",1527431,3,2,1771,Fremont,94538,0,Condo,Unknown,Victoria Station at Metro West,29160,8346,1469274,649,2,0,Unknown
133,"Dartmoor,Fremont, CA 94538",1527431,3,2,1678,Fremont,94538,0,Condo,Unknown,Victoria Station at Metro West,29160,8113,1469274,666,2,0,Unknown
134,"Broadwell,Fremont, CA 94538",1527431,2,2,1336,Fremont,94538,0,Condo,Unknown,Victoria Station at Metro West,29160,7888,1469274,813,2,0,Unknown
135,"Residence 1A,Fremont, CA 94538",1527431,2,2.5,1291,Fremont,94538,0,Multi-Family (2-4 Unit),Unknown,Innovation - Aspect,29160,7234,1469274,771,2,0,Unknown
136,"Residence 3,Fremont, CA 94538",1527431,3,2,1495,Fremont,94538,0,Multi-Family (2-4 Unit),Unknown,Innovation - Chroma,29160,6928,1469274,638,2,0,Unknown
137,"Residence 2AS,Fremont, CA 94538",1527431,2,2,977,Fremont,94538,0,Multi-Family (2-4 Unit),Unknown,Innovation - Chroma,29160,5192,1469274,732,2,0,Unknown
138,"Residence 2B,Fremont, CA 94538",1527431,2,2,1049,Fremont,94538,0,Multi-Family (2-4 Unit),Unknown,Innovation - Chroma,29160,5665,1469274,743,2,0,Unknown
139,"Residence 2A,Fremont, CA 94538",1527431,2,2,1014,Fremont,94538,0,Multi-Family (2-4 Unit),Unknown,Innovation - Chroma,29160,5577,1469274,757,2,0,Unknown
140,"Residence 1C,Fremont, CA 94538",1527431,1,1,850,Fremont,94538,0,Multi-Family (2-4 Unit),Unknown,Innovation - Chroma,29160,4539,1469274,735,2,0,Unknown
141,"Residence 1B,Fremont, CA 94538",1527431,1,1,770,Fremont,94538,0,Multi-Family (2-4 Unit),Unknown,Innovation - Chroma,29160,4176,1469274,747,2,0,Unknown
142,"Residence 4B,Fremont, CA 94538",1527431,3,3.5,1796,Fremont,94538,0,Multi-Family (2-4 Unit),Unknown,Innovation - Aspect,29160,9333,1469274,715,2,0,Unknown
143,"Residence 3B,Fremont, CA 94538",1527431,3,2,1529,Fremont,94538,0,Multi-Family (2-4 Unit),Unknown,Innovation - Lumiere,29160,7771,1469274,700,2,0,Unknown
144,"Residence 4A,Fremont, CA 94538",1527431,3,3.5,1796,Fremont,94538,0,Multi-Family (2-4 Unit),Unknown,Innovation - Aspect,29160,9333,1469274,715,2,0,Unknown
145,"Residence 3A,Fremont, CA 94538",1527431,2,2.5,1447,Fremont,94538,0,Multi-Family (2-4 Unit),Unknown,Innovation - Aspect,29160,7807,1469274,743,2,0,Unknown
146,"Residence 1B1,Fremont, CA 94538",1527431,2,2.5,1350,Fremont,94538,0,Multi-Family (2-4 Unit),Unknown,Innovation - Aspect,29160,7488,1469274,764,2,0,Unknown
147,"Residence 5B,Fremont, CA 94538",1527431,4,3.5,2663,Fremont,94538,0,Multi-Family (2-4 Unit),Unknown,Innovation - Matrix,29160,10277,1469274,531,2,0,Unknown
148,"Residence 2B3,Fremont, CA 94538",1527431,3,3,1776,Fremont,94538,0,Multi-Family (2-4 Unit),Unknown,Innovation - Matrix,29160,8868,1469274,687,2,0,Unknown
149,"Residence 4B3,Fremont, CA 94538",1527431,3,3,2218,Fremont,94538,0,Multi-Family (2-4 Unit),Unknown,Innovation - Matrix,29160,9551,1469274,593,2,0,Unknown
150,"Residence 5A,Fremont, CA 94538",1527431,4,3.5,2313,Fremont,94538,0,Multi-Family (2-4 Unit),Unknown,Innovation - Aspect,29160,10887,1469274,648,2,0,Unknown
151,"Residence 2B1,Fremont, CA 94538",1527431,3,3,1776,Fremont,94538,0,Multi-Family (2-4 Unit),Unknown,Innovation - Matrix,29160,8868,1469274,687,2,0,Unknown
152,"Residence 2A2,Fremont, CA 94538",1527431,3,3,1776,Fremont,94538,0,Multi-Family (2-4 Unit),Unknown,Innovation - Matrix,29160,8868,1469274,687,2,0,Unknown
153,"Essex 3,Fremont, CA 94538",1527431,3,3.5,1891,Fremont,94538,0,Townhouse,Unknown,Kensington Station at Metro West,29160,10067,1469274,733,2,0,Unknown
154,"Residence 1A1,Fremont, CA 94538",1527431,2,2.5,1291,Fremont,94538,0,Multi-Family (2-4 Unit),Unknown,Innovation - Aspect,29160,7234,1469274,771,2,0,Unknown
155,"Residence 2A1,Fremont, CA 94538",1527431,2,2.5,1329,Fremont,94538,0,Multi-Family (2-4 Unit),Unknown,Innovation - Aspect,29160,7372,1469274,764,2,0,Unknown
